time,vehicle-id,driver-id,longitude,latitude,speed,state
1230739200,4650,20742,103.85502,1.31137,11,0
1230739200,3604,32036,103.90557,1.40099,61,0
1230739200,77,33581,103.85284,1.32223,0,9
1230739200,138,5014,103.84241,1.28054,16,0
1230739200,472,33584,103.84395,1.27261,5,2
1230739200,5213,23153,103.97863,1.33486,105,5
1230739201,3571,27533,103.98737,1.35487,7,0
1230739201,1376,31591,103.87428,1.3835,11,0
1230739201,1380,5724,103.98771,1.35342,0,5
